record_key,announced,status
74eac418ee3d40fdc6507785b17b5f3c223561f85228295530179d84b62b8f42,"2026, July 16",Available. Released 10 August 2026
13fab7900804959e2b23c6a8d601f77f01abaa6b58b5dd3f15097f6057ea3910,2026-05-25,Available. Released 25 May 2026
7e8c91315e2751131a8fbd82592fa6628b861596f9de1002fb773416938d064e,2023-05-22,Available. Released 22 May 2023
1ca286a5dfafe4cfb3e21376fb9e2fb1d80d08bac9f05e93681b22dd135a0da5,"2024, March 18",Available. Released 19 March 2024
1809edbf46e9320d182f3d2dfc7202d72096bc67598559bb5f2635af4441382c,2024-03-18,Available. Released 19 March 2024
127b86b3b003198ee601f290106acad35c0637bf08de9d4dcff2a7ee04380899,"2026, March 04",Available. Released 1 March 2026
e1390c2cbafdedd71bbf06bcb519c4a6e59129ced85689554fb817ea0b8adcc3,2024-01-30,Available. Released 1 February 2024
a36f08a596827990459f92aa06fc4fc0ca5a6ec61e2384747a6994b1da97ea09,2024-01-29,Available. Released 1 February 2024
e7a4577fb3f945edfabdedd34e667dcbf569b736d68f180aa8ffdad20ee2e944,2024-09-23,Available. Released 1 October 2024
152e829ac65b28b3c5c627b47d7d95c971feb5f83d39300809427f3a10b5120b,"2023, September 01",Available. Released 1 September 2023
4943b8dbafcffdb862701380603703e7d96513059e1a6f26a8ec04189d979dd0,"2021, September 14",Available. Released 24 September 2021
8f807756ab75c0b0e08d51dd5f5518741058d35552ada025111b98a5efed8e93,"2022, September 07",Available. Released 16 September 2022
b0e9282ea87e56d49ffbc282e8d46544aea773c147fdabd68f84ab30c038c01c,"2023, September 12",Available. Released 22 September 2023
f5c0168081a025c1f71da889bc9b5659f09b36a3465cd81aac705379ee9f869f,2026-09-09,Coming Soon. Released 9 September 2026 (Expected)
2d0b0b72b2ad0752777354bec00cb7cf3564b072d08c4aa9dfa410c0e52c4097,2023,Available. Released 1 January 2023
388c001a6ee3a4502122951106624535c0fb164e41ff787a0db6271dbe0d9f4c,2023-08-16,Available. Released 16 August 2023
17922b12bf621dc05b225857fa15777140243d113932d5780b0b9b5866e25965,"2023, October 30",Available. Released 1 November 2023
994520575d5580547ea7d090e3118a52dd60f579ac91316c331d6bb398facc4d,"2024, February 1",Available. Released 1 February 2024
a6860572b22d3702b81231c2a53be5263e3f0f0ea287d97d2efd440b5ed8817e,"2024, January 26",Available. Released 13 February 2024
97d3bd819fdc0a391154449727a68761a793ce547b49e92ad6f00f9a38e9f79f,"2026, June 01",Available. Released 9 June 2026
012fe72c161b3c4165cd30f7837da682a14ed7889900de9e1b91b420340ebc6f,"2023, September 19",Available. Released 19 September 2023
4b6748eeff86c9be0261dbe7bd33d9018ebefb6579b62b900c1ba74abfa50401,2023,Available. Released 1 January 2023
79ca26acd14a2ce3dd948f0874968c622244356ada818abb169af3d7f38f0491,"2026, January 29",Available. Released 29 January 2026
851afc357823cdda4a9a42ca5f0d4c0e118d43155b2a9005f1d89b5a6d1030f5,"2022, February 14",Available. Released 15 February 2022
42aeffe211dcca3faf7e1c777534538bd5c171754b5d06210a08962356b556a9,"2022, March 21",Available. Released 24 March 2022
93ee8dadac86e6ab7b20ad6356d9c9a8779519ce6de45e7f370d098af97a6d59,"2021, November 08",Available. Released 8 November 2021
b7a58e69da0f3277a1cafafdbfaf6d039e37c2001f1bde4fdfec102f392222a7,"2022, September 26",Available. Released 26 September 2022
447c68d038da2f7ed01920664a5691a8d1fd108661fe32c3ec550d0b5e522090,2022-04-14,Available. Released 15 April 2022
b86adff8e7e5483cb6073189fe7cb72955beb4eaa0aaa5617d476906e2e70fb5,"2022, November 08",Available. Released 10 November 2022
42d20c08ebb7ab8a67ae474e592dcc7710f9e3064b3f97c7b42adffff2e5ce49,2023-01-07,Available. Released 7 January 2023
a33a25ab4c102d4fb875fa71246a1bf27aa07b37e2f30b2f61e3c75a088e5647,"2022, March 16",Available. Released 16 March 2022
99a675d340236d3680ac1c71009dda172317439aa8a28ed781eaebd8535a670d,"2022, April 12",Available. Released 15 April 2022
290eda6ec340f96f3659a4e01214ebf99991c2e82c7baf4565f457e6108142fa,2024-01-12,Available. Released 25 January 2024
237629b760ca3e3e260e79952f3ad61a3718068a8f902f689a38903658f830d7,"2024, February 08",Available. Released 8 February 2024
1550a41eb312ca70a21daf3d3acbb1485fdc657529ed64c7d7420013930e7c15,,Available. Released 6 April 2026
5cd0b5087473cd14112d08034c9d4548a3cfaf63ad9c40d89cdd788b70ed4d59,"2020, March 05",Discontinued. Released 13 March 2020
b949b471015abc7c3b351a1776b32f34a2a4fe0078609541972530e3e044d31b,2026-04-30,Available. Released 7 May 2026
7c185f2d927bb9a2cc3268517f37b4f77553bc1c957857a55c1510f38bd1e8a1,2023-05-31,Available. Released 31 May 2023
74cfdff5d75f29450cf445790521db912c7ae1808986d0d0b9f5c2ada3ab00d6,2024-05-31,Available. Released 5 June 2024
5158e4a7ae7052e0c0a25961ce016d3dadb64041a43ba60c2dcc839d42f29bf2,"2023, December 19",Available. Released 19 December 2023
cc82dcf2f9f934951d147bbd4db58cdc64bd7f0ea0e53d99f4d16673afea4bbe,,Available. Released 12 January 2026
85deb17819703c8a2b72ef84c4f4c2bf16a5198c3bf1bdab88af8553b713ba4d,2024-01-23,Available. Released 23 January 2024
90d6a2abd9a4f9daf6719fe211d82ebbd7e7229919105866881970939b804883,2026-06-10,Available. Released 17 June 2026
bdf0b8709ce7ece9511a757e66c5478af4dc57597039cb24ddba65c0da62d832,"2022, December 31",Available. Released 1 January 2023
d67f60d6a9f191e5ad9a61a12e75f55c875539ca6233228753d7767f77bf82cb,"2023, March 24",Available. Released 24 March 2023
f125729dac65fea964f35ab67e756e5f51a3a3e28b202494f301701646ead02a,2024-02-14,Available. Released 23 February 2024
10ab98030450c7c19db32494aaff90c8d6ba3b260ed9d1d7802a10b3991a0b61,"2023, March 23",Available. Released 30 March 2023
2d1e1481797ec3df7cad855c625dd0a4c916e3f1d61ac20e2c0951b5ae1fa3b0,2023-09-21,Available. Released 21 September 2023
9912446ca221c308265d86df4cd39d4a8db153928c98b95701e626af7e20647a,2025-01-10,Available. Released 16 January 2025
f6746dfe4af20be8922cf739a7f59ae0a05ee4083da287ee10a581f4b6e2565e,"2023, March 06",Available. Released 26 April 2023
8195f7c5c3f8c98de40761bdf030c2d813df9eed4529e1491202c5dc0cd7d35c,2022-08-24,Available. Released 10 October 2022
67db11b9acdbba31624b06183045531c2485db5d5bdee95a33333665e066cfbc,"2022, August 31",Available. Released 22 September 2022
56b0fec02448f91243cb22cffafa023ee50c4fb03d7ec9aa73717fa50d9f9d00,"2023, September 25",Available. Released 18 October 2023
5c02241ece6ed0f915531fde16e4195b308323013471818497f243bdb74c7694,"2023, December 11",Available. Released 16 December 2023
03cf5bf9d6b833baabc692848d4318071990b6439cf0687a4ed309da1090cec1,Expected in October 2026,Coming Soon
479197be9e595ca04ab37e59dbffdb76e446342ea19b9abd62668b06703bac69,2024-10-15,Available. Released 20 November 2024
669207706646419f4b6db219917c71eb09d88ec24caf7a3ddbbaee42c69dcb10,"2025, August 06",Available. Released 13 October 2025
47f7f73ae80264137a7c3b63f5f0c8909e4b8874ff404d4cff28478076068c39,"2021, February 25",Available. Released 25 February 2021
840651d4736e14a9f00468c2d3ecaf28139a84e4574d9bb3ee789fa5b1be5b32,"2023, October 04",Available. Released 5 October 2023
66b25b30ff78584501c86018fc0950b6760951c5dd91299768271a326da94031,"2024, January 17",Available. Released 24 January 2024
41724748957ccc6c33e688e94f814b1e40a0d211c7cf1f1d107997a67925dd91,"2023, July 26",Available. Released 11 August 2023
cdfc40a69fbdd347e536459b97a9cbafba3ff33238741c92be16938d51ffe277,"2023, July 26",Available. Released 11 August 2023
f6c350dad63cc400616489c7737d26b77664ee2767f7154215a238836fff46b7,"2022, August 10",Available. Released 25 August 2022
01dbc31aa4b8fb28aff18810f7d78c5604796416bd011d0a55a1e8d07ec9ba0c,2023-11-01,Available. Released 1 November 2023
f6749884b568549b59cf921c29029d3ca1df6d6124677254aff9a222f9b24615,"2023, June 22",Available. Released 22 June 2023
4de9e009cf75c628ec3fd32f00afeb750e574f8a9b7897dbdf0a80518d77a5a8,September 2023,Available. Released 1 November 2023
a0ebfc5406bfcff6d4d441670d3a205955336803e80238607308054d9dd4d6eb,"2024, January 16",Available. Released 16 January 2024
68f5d96034fc54273bf09625b4d05faeee11a7dd87f29fb6ffd1d001ed545db7,"2024, January 03",Coming Soon. Released 3 January 2024
f6e81b9dc89fb49f2fa8829f1df382397d01913c86b27fab23590a894777fb82,"September 11, 2023",Available. Released 11 September 2023
f8e725516ec20df7ba69fbd5be0e7567fb15e266156614554317b7284b69cc3d,2023-07-24,Available. Released 24 July 2023
54648b79958a27128530b56cf102a0f1f39240b49addca3f36d7b45876d1c1a6,"January 16, 2024",Available. Released 16 January 2024
5b422034ca0e17ca05903b0b809dc1a7a17d48c0b8217991464b539db1aca09c,"2023, February 2",Available. Released 2 February 2023
62363c6285e84d8ce0cfcdf37367e3d4a834b01cb2143abf10638189fd689fd1,"February 16, 2023",Available. Released 13 February 2023
d3cb8585249f1a5381131760f3c761a9abda9dda5f0e593db834d66952f14b95,"2023, October 13",Available. Released 13 October 2023
772282d4070825e03eae7ee7728381c837dbb62dc2d4c1a82bf6915c8eabe4e8,14 Mar 2023,Available. Released 14 March 2023
bd242006a222c5f14432aed2b0bfcac3e73b4ca464b76e74bddc62aee3b4f8bf,"2024, February 19",Coming Soon. Released 19 February 2024
2c9a505dcc38a2e4dc6e9af4baf8ba2df40c4722e2b0b2d7373ac89cfbeffee6,2023-05-09,Available. Released 9 May 2023
05e6d0d1fc7c6c845029d2a6a8ac7c9f1a15e51c1316cb882cd627acb4d1a173,Not Officially Announced,Rumored
c99b6b7062155c55de41432597f4ec3556c92f5c50065bada9c03af3a4c595d3,2024-02-27,Available. Released 2 April 2024
0bc886745b141d5179472de40aac29b65293d133bb9eb535f1f4dce41718887d,,Available. Released 5 April 2026
1b20d46faa9ef4bb659a07e707a08d648002d41c696d0432e98d103a5cb0637c,"2023, September 22",Available. Released 1 October 2023
ed6e7d04bc018a8b4a3e851a7b752041a1abe026a56790c6624f49af3651179f,2023-03-28,Available. Released 1 April 2023
be0dd621914a93027abbda47a8278bf3e7a26c1c150715d5b72c155fb506439a,"2023, August 01",Available. Released 22 August 2023
e88be5579608e9fa0b0256b7704e28da997cbe8458449f338bd8d9013e97a6ec,2023-03-06,Available. Released 22 March 2023
8154fd53709dc9f251a6290e88d49f55ae224ffc671cbddc698e155b3472c97e,2023-03-23,Available. Released 29 March 2023
963ef458ac59cde3de1c7e10f397c5e173b7fdcaac26c3f26e669cc4b8ec05e8,2023-12-29,Available. Released 9 February 2024
eefb2a1b576528a7c4000c8259f043b366ba1d4c28b6419bf5827b16ac388680,2023-12-15,Available. Released 1 December 2023
d4eb7b1b01870c1f1d651b5ec091b60b64f17d103225c85fd6d8048bda32d42e,2023-12-01,Available. Released 1 December 2023
0a8e1ad2a7204df0576bf01e19642dc19ac72f60760d1e68a80f2fe1f0eb4255,2023-11-27,Available. Released 1 December 2023
42935071e3b5dd40475917176edab7e38ba122d89aff08136caaf851d44d08b5,Expected in September 2026,Coming Soon
50a54cdb89b576704c5ef8c6f643308f0782f1f1f1aab80e610c1432ceb38321,2023-11-21,Available. Released 7 December 2023
a7f0b414b79bad68b217ba261e0869268ff7776337c2e41a9f17001f881cd487,Expected in September 2026,Coming Soon
80b1b5d6746387c176ca4baf2ed30740a92d08ad1118b960a584008e1f98d1d0,2023-03-01,Available. Released 1 March 2023
6d9b506fb3e0bd095878d0f1554e04fb7ce5d72f4efbd55d50e9e5fdd783b38d,2023-07-31,Available. Released 1 September 2023
898e9e9fccce84e9a65a8675a5098e506572a1be049f37a9b67ad36fed3cf46d,2024-02-04,Available. Released 4 March 2024
48e05c7684304b53671580cd3471d12249aa8f28a3f92c53ff2562413a9988c2,"2025, August 12",Available. Released 19 August 2025
1017bc3a83c563bfd456fdedc562b333b3a4c9f6c94ff5f18a582cc0827719ac,,Rumored. Released 31 October 2026 (Expected)
f2282414beb59035d1d1cd61b7939d19874edac205ecb0c0e5026258e487aff2,,Coming Soon. Released 31 August 2026 (Expected)
0552705b0ed0ab1c8b375618cd85a26357391e22337b0bef4d5b32b4f3ceb211,"2026, April 16",Available. Released 29 April 2026
0476a1bd91b56692bf90bebeae9ac43ae0649755bd68a6d6d97ba5abeadf5208,2022-08-01,Available. Released 22 August 2022
5c48b78729b2382900cb21be49c2b964e408fa6ebc6e3af85d5965ffd9bc8dd0,"2024, March 13",Available. Released 13 March 2024
acc00caec9e3f6f2683de16afe396838a703c3d94fb8dfd6a0582b78bda22c0e,2025-02-26,Available. Released 11 March 2025
0c2e16185adc90d74d8e543afdb61159f67907214a500dca1255844ffaf76532,2023-02-16,Available. Released 16 February 2023
d6258340c0cdfaa37149a9c866739626f08b44b8dbee769c5e3c986307ebfd11,"2024, May 06",Available. Released 1 May 2024
6b1d4368838f3ae6a0cbf55e573873d6f70202417140a0f8e25da585a520d10c,2021-08-20,Available. Released 20 August 2021
0ae85f58df1ecd24fb888b6b2011d70be4f688e0eab7b89428fdaca105576710,2023-11-07,Available. Released 7 November 2023
9ec75565cd49b849bac61d0c918ecc28799865705efd53fcb4c2ed81df77430c,"2024, June 15",Available. Released 1 July 2024
2a3939d09cc290f5e5f24660699dd3ed2bd4c3b60c113c5d4f8dfb1cfd9b5ab9,"2024, January 11",Available. Released 12 January 2024
67718b01eed88cb7e11ce2bcd984a4b9a0184e39add623edb597a929523ee0e9,"2024, January 11",Available. Released 12 January 2024
d6b48bef27ea15a79d2b5d2b2ddae3264412b440a03c818ba890a631071b5f5c,"2023, November 10",Available. Released 10 November 2023
da0fd0827071c34eaf63199e0482288ed81e74f9ca3b6f2bf06dae8f1ca0d3ab,"2024, August 30",Available. Released 30 August 2024
d23d66b128f7671e006356693f47aef0bd9ea7c349729cf5067458915a65cf1f,"2022, June 19",Available. Released 1 July 2023
e90b91703461adb5350ce9493753350455c80d4fc76447e284ed076c1106b244,"2023, September",Available. Released 1 November 2023
10384bbcc1af986315c97b98f2fe52a95ee4b2758ce2a1df3048f736e4d625db,2024-01-01,Available. Released 1 July 2024
01b68a670862d23c1a4b2e491dba95308becce2a1c8d3fc531fc2be8a9283b88,2024,Released. Released 1 January 2024
b40c3c3d5f614cc3b6b5d468987340cc6139b22b192dea93c41476a970a48247,"2024, February 28",Available. Released 1 April 2024
ed05bd8f6d9d13047b266c34e20f02c108451606327c01498ec1cb057c7a4d22,"2024, February 28",Available. Released 1 April 2024
8e10517736cf4542ff3b069e517fc1007fcd4091d841073ccb958b20bf2b0ac8,Expected in December 2026,Available
4b23bd3b2fd9e8e3c0871c86fc6b95a854148640a57072ddfcd7c64fb4ca6288,"2023, October",Available. Released 1 October 2023
